"Longitude";"Latitude";"X";"Y"
-98,9;21,1;0,461074764032703;-0,113349757637556
-98,7;21,1;0,513157975849089;-0,0612514874003265
-98,4;21,1;0,946223504021135;0,0493156134173922
-97,9;21,1;0,428384075323886;0,0308998283249521
-97,7;21,1;1,3272152902549;0,0322664976063956
-89,7;21,1;1,25877199257556;-0,0112112288809482
-89,4;21,1;0,603271758868372;-0,0490378046163277
-88,7;21,1;1,43577253214341;0,0209315244825005
-87,5;21,1;1,29003638634196;-0,0159984050235971
-86,9;21,1;1,09910670412668;-0,0168105223445574
-105,4;20,9;0,412717905056761;-0,0126794104469079
-105,1;20,9;1,17978628643676;0,11027779069452
-100,1;20,9;-0,332825506276662;-0,00118397656604454
-99,7;20,9;-0,194742758262019;0,103514651071033
-99,4;20,9;0,585972737838591;-0,0459168685511935
